DateHour,Wind_Speed_Actual_Knots,Production_Actual_MWh,Production_Forecast_1hour_MWh,Production_Forecast_6hour_MWh,Production_24hour_MWh,Electricity_Prices_Day_Ahead_Dollar,Electricity_Prices_Spot_Dollar
01/01/2022 00:00,10.34,35.3697,30.2627,19.3683,11.2438,133,131.98
01/01/2022 01:00,9.52,27.5898,24.9854,19.2894,6.7481,138.45,138.43
01/01/2022 02:00,6.31,8.0303,13.5787,18.6246,10.6262,107.54,105.02
01/01/2022 03:00,7.38,12.8577,13.8099,17.0159,10.6262,105.54,104.18
01/01/2022 04:00,7.03,11.1329,10.5426,13.9052,12.3877,107.69,108.36
01/01/2022 05:00,5.74,6.0457,7.7282,8.6532,14.9853,98.36,96.81
01/01/2022 06:00,4.64,3.1974,4.5571,5.1233,19.016,108.73,107.59
01/01/2022 07:00,7.25,12.189,6.4915,8.4198,36.8433,74.94,73.33
01/01/2022 08:00,9.51,27.5379,11.6169,10.2155,43.2345,75.86,75.03
01/01/2022 09:00,7.33,12.6148,14.505,10.4862,13.6434,105.67,104.07
01/01/2022 10:00,8.87,22.3517,20.1574,13.6148,15.3487,131.45,130.76
01/01/2022 11:00,11.53,49.0798,25.2919,22.556,12.4007,115.45,113.92
01/01/2022 12:00,12.05,55.9748,40.5123,30.671,12.7358,127.58,125.26
01/01/2022 13:00,11.91,54.0099,52.9678,35.3608,17.0219,139.2,136.78
01/01/2022 14:00,10.02,32.1404,38.8608,36.4626,24.8547,146.02,143.73
01/01/2022 15:00,9.37,26.3532,31.0719,33.7018,26.6461,104.02,101.71
01/01/2022 16:00,11.2,44.9778,33.9241,41.5431,29.7799,133.22,132.59
01/01/2022 17:00,8.9,22.5496,26.2549,28.2129,25.9974,154.85,153.51
01/01/2022 18:00,9.83,30.3537,31.0532,30.5268,30.794,141.54,139
01/01/2022 19:00,11.86,53.335,33.8944,34.2706,38.2004,156.21,152.37
01/01/2022 20:00,13.19,73.3912,50.2485,42.5221,46.999,133.9,130.5
01/01/2022 21:00,11.17,44.6367,50.2445,42.4563,44.7218,113.89,111.47
01/01/2022 22:00,13.04,70.873,61.9806,52.7851,44.8071,111.86,111.3
01/01/2022 23:00,10.4,36.0008,42.2257,44.5438,38.0446,103.12,101.02
02/01/2022 00:00,14.14,90.3789,62.8547,60.8104,44.8071,102.43,102.96
02/01/2022 01:00,13.09,71.8013,63.1395,60.5283,49.0378,106.4,105.09
02/01/2022 02:00,14.41,95.6889,85.5315,70.5292,61.6892,103.84,104.33
02/01/2022 03:00,13.15,72.7909,76.1498,70.9089,71.3362,102.09,102.21
02/01/2022 04:00,13.62,80.7971,81.7633,81.3632,72.295,100.99,99.63
02/01/2022 05:00,13.5,78.674,77.3706,79.1653,73.0907,95.14,95.3
02/01/2022 06:00,12.71,65.6559,70.1459,71.797,68.9222,111.71,111.54
02/01/2022 07:00,11.92,54.1364,59.707,61.7014,62.7787,107.93,107.37
02/01/2022 08:00,12.98,69.902,62.9895,69.3715,71.0918,118.13,118.19
02/01/2022 09:00,15.99,130.8377,80.9759,77.288,75.6944,137.42,136.26
02/01/2022 10:00,16.05,132.182,108.0769,86.4347,75.6944,141.07,140.2
02/01/2022 11:00,12.7,65.5982,84.2458,75.5318,70.5259,137.9,137.57
02/01/2022 12:00,7.45,13.2078,29.7056,34.3466,34.5051,144.34,142.86
